Category,Subcategory,Local term,English translation,Simple Category
Racist narrative,Islamphobic,小児性的虐待者,grooming,Islamophobia
Racist narrative,Islamphobic,パレスチナ人,palestinians,Islamophobia
Racist narrative,Rape,レイプファイティング,rape fighting,Violence
Racist narrative,Rape,強姦団,rape gangs,Violence
Racist narrative,Rape,レイプ被害者,rape victims,Violence
Racist narrative,Rape,レイプ支持者,support rape,Violence
Racist narrative,White privelege,白人女性主義,whitegirlsmatter,Racism
Racist narrative,White privelege,白人奴隷制,white slavery,Racism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",フェニアン,fenian,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",アイルランド共和国軍,ira,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",カトリック教徒,papist,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",串刺し,prod,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",北アイルランド警察庁,ruc,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",カトリック教徒,taig,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",カトリック教徒,taigs,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",ティーグ,teague,Sectarianism
Sectarianism,"Protestant-Catholic
(particularly Ireland)",アルスター義勇軍,uvf,Sectarianism
Sexist,Anti-woman,ビッチ,bitch,Sexism
Sexist,Anti-woman,センシティブビッチ,sensitivebitch,Sexism
Sexist,Anti-woman,ヤリマン,slag,Sexism
Sexist,Anti-woman,売春婦,slapper,Sexism
Sexist,Anti-woman,ヤリマン,slut,Sexism
Sexist,Anti-woman,ふしだら女,wench,Sexism
Sexist,Anti-woman,ヤリマン,whore,Sexism
Sexist,Female anatomy,膣,clunge,Sexism
Sexist,Female anatomy,膣,klunge,Sexism
Sexist,Female anatomy,まんこ,muff,Sexism
Sexist,Female anatomy,生理,period,Sexism
Sexist,Female anatomy,まんこ,vag,Sexism
Sexist,Female anatomy,まんこ,vagina,Sexism
Sexual,Female anatomy,お尻,ass,Sexual
Sexual,Male anatomy,乳,booty,Sexual
Sexual,Male anatomy,乳,breasts,Sexual
Sexual,Male anatomy,クリトリス,clit,Sexual
Sexual,Male anatomy,まんこ,pussy,Sexual
Sexual,Male anatomy,乳首,tits,Sexual
Sexual,Male anatomy,ちんこ,cock,Sexual
Sexual,Male anatomy,ちんこ,dick,Sexual
Sexual,Male anatomy,ちんちん,penis,Sexual
Sexual,Sex,精子,cum,Sexual
Sexual,Sex,セックス,shag,Sexual
Sexual,Rape,レイプされた,raped,Sexual
Slurs,Anti-black,黒人混血種,black bastard,Racism
Slurs,Anti-black,黒人ヤリマン,black bitch,Racism
Slurs,Anti-black,黒人クソ野郎,black cunt,Racism
Slurs,Anti-black,黒人ゲス野郎,black scum,Racism
Slurs,Anti-black,黒人クソ,black shit,Racism
Slurs,Anti-black,クソ黒人,black shite,Racism
Slurs,Anti-black,黒蛇,black snake,Racism
Slurs,Anti-black,黒人チンピラ,black thug,Racism
Slurs,Anti-black,黒人,blackie,Racism
Slurs,Anti-black,黒人,coloured,Racism
Slurs,Anti-black,黒人,colored,Racism
