Category,Subcategory,Local term,English translation,Simple category
Sexual,Rape,후장을 따다,rape,Rape
Sexual,Sexual slur,아다,virgin,Sexual slur
Sexual,Sexual slur,토끼,premature ejaculation patient,Sexual slur
Sexual,Sexual slur,색골,lecher,Sexual slur
Sexual,Sexual slur,남창,male prostitute,Sexual slur
Violence,Violent threats,아가리를 찢다,tear one's mouth open,Violent threats
Violence,Violent threats,면상을 갈기다,hit one's face,Violent threats
Violence,Violent threats,눈깔을 뽑다,pull out one's peepers,Violent threats
Violence,Violent threats,싸대기를 날리다,slap cheeks,Violent threats
Violence,Violent threats,아가리 닥쳐,shut up,Violent threats
Violence,Violent threats,존명세,hit solar plexus hard,Violent threats
Violence,Death threats,숨통을 끊다,cut one's windpipe,Death threats
Violence,Death threats,모가지를 자르다,cut off neck,Death threats
